# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMAX charged-particle density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 3.610827e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.669000e-01 2.250022e-02
1.000000e+00 1.500000e+00 4.327000e-01 2.110095e-02
1.500000e+00 2.000000e+00 6.262000e-01 2.160208e-02
2.000000e+00 2.500000e+00 7.527000e-01 2.360530e-02
2.500000e+00 3.000000e+00 8.261000e-01 2.431317e-02
3.000000e+00 3.500000e+00 8.631000e-01 2.243769e-02
3.500000e+00 4.000000e+00 8.814000e-01 2.366854e-02
4.000000e+00 4.500000e+00 8.964000e-01 2.880868e-02
4.500000e+00 5.000000e+00 9.061000e-01 3.119695e-02
5.000000e+00 6.000000e+00 9.139000e-01 3.031452e-02
6.000000e+00 7.000000e+00 9.228000e-01 3.242299e-02
7.000000e+00 8.000000e+00 9.370000e-01 3.749613e-02
8.000000e+00 1.000000e+01 9.337000e-01 4.331801e-02
1.000000e+01 1.500000e+01 9.355000e-01 4.934775e-02
1.500000e+01 2.000000e+01 1.021800e+00 7.461856e-02
