# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMIN charged-particle density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 2.516637e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.850000e-02 3.100000e-03
1.000000e+00 1.500000e+00 8.850000e-02 5.400926e-03
1.500000e+00 2.000000e+00 1.614000e-01 7.702597e-03
2.000000e+00 2.500000e+00 2.192000e-01 9.204890e-03
2.500000e+00 3.000000e+00 2.532000e-01 1.001249e-02
3.000000e+00 3.500000e+00 2.698000e-01 9.027181e-03
3.500000e+00 4.000000e+00 2.765000e-01 1.075639e-02
4.000000e+00 4.500000e+00 2.814000e-01 1.308625e-02
4.500000e+00 5.000000e+00 2.862000e-01 1.275774e-02
5.000000e+00 6.000000e+00 2.886000e-01 1.228088e-02
6.000000e+00 7.000000e+00 2.835000e-01 1.273499e-02
7.000000e+00 8.000000e+00 2.946000e-01 1.230650e-02
8.000000e+00 1.000000e+01 2.954000e-01 1.432655e-02
1.000000e+01 1.500000e+01 2.953000e-01 1.647301e-02
1.500000e+01 2.000000e+01 3.201000e-01 2.654449e-02
