# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMAX charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 4.428317e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.058000e-01 1.440035e-02
1.000000e+00 1.500000e+00 3.302000e-01 1.600031e-02
1.500000e+00 2.000000e+00 5.393000e-01 1.800250e-02
2.000000e+00 2.500000e+00 6.978000e-01 2.060607e-02
2.500000e+00 3.000000e+00 8.029000e-01 2.241807e-02
3.000000e+00 3.500000e+00 8.649000e-01 1.925097e-02
3.500000e+00 4.000000e+00 9.031000e-01 2.807864e-02
4.000000e+00 4.500000e+00 9.315000e-01 2.886694e-02
4.500000e+00 5.000000e+00 9.566000e-01 3.040559e-02
5.000000e+00 6.000000e+00 9.795000e-01 2.916505e-02
6.000000e+00 7.000000e+00 1.002200e+00 3.068192e-02
7.000000e+00 8.000000e+00 1.032900e+00 3.606245e-02
8.000000e+00 1.000000e+01 1.062200e+00 4.391446e-02
1.000000e+01 1.500000e+01 1.084500e+00 4.725474e-02
1.500000e+01 2.000000e+01 1.207100e+00 7.017193e-02
