# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransAVE charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 3.475054e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 5.850000e-02 8.100000e-03
1.000000e+00 1.500000e+00 1.962000e-01 9.900505e-03
1.500000e+00 2.000000e+00 3.326000e-01 1.190168e-02
2.000000e+00 2.500000e+00 4.401000e-01 1.400571e-02
2.500000e+00 3.000000e+00 5.112000e-01 1.501200e-02
3.000000e+00 3.500000e+00 5.512000e-01 1.303840e-02
3.500000e+00 4.000000e+00 5.760000e-01 1.885206e-02
4.000000e+00 4.500000e+00 5.941000e-01 1.971218e-02
4.500000e+00 5.000000e+00 6.095000e-01 2.060510e-02
5.000000e+00 6.000000e+00 6.224000e-01 2.004121e-02
6.000000e+00 7.000000e+00 6.316000e-01 2.129530e-02
7.000000e+00 8.000000e+00 6.527000e-01 2.416278e-02
8.000000e+00 1.000000e+01 6.714000e-01 2.834784e-02
1.000000e+01 1.500000e+01 6.799000e-01 3.224609e-02
1.500000e+01 2.000000e+01 7.493000e-01 4.526213e-02
