# Version 0.0
# Observable: $\frac{1}{2\pi\bar{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Pion$^+$ (y= 2.95)
# XScale: linear
# YScale: log
# XLims: 3.500000e-01 5.200000e+00
# YLims: 9.000000e-07 1.100000e+02
# xmin xmax y y_err
3.500000e-01 4.000000e-01 1.966000e+01 2.002623e+00
4.000000e-01 4.500000e-01 1.516000e+01 1.545574e+00
4.500000e-01 5.000000e-01 1.196000e+01 1.232234e+00
5.000000e-01 5.500000e-01 8.568000e+00 8.985260e-01
5.500000e-01 6.000000e-01 6.659000e+00 7.240249e-01
6.000000e-01 6.500000e-01 4.950000e+00 5.856569e-01
6.500000e-01 7.000000e-01 3.882000e+00 4.455390e-01
7.000000e-01 7.500000e-01 3.268000e+00 3.504354e-01
7.500000e-01 8.000000e-01 2.282000e+00 2.426376e-01
8.000000e-01 8.500000e-01 1.889000e+00 1.998650e-01
8.500000e-01 9.000000e-01 1.529000e+00 1.622498e-01
9.000000e-01 9.500000e-01 1.018000e+00 1.103087e-01
9.500000e-01 1.000000e+00 8.890000e-01 9.648554e-02
1.000000e+00 1.100000e+00 6.103000e-01 9.728540e-02
1.100000e+00 1.200000e+00 3.579000e-01 5.847059e-02
1.200000e+00 1.300000e+00 2.454000e-01 4.142765e-02
1.300000e+00 1.400000e+00 1.402000e-01 2.519385e-02
1.400000e+00 1.500000e+00 7.099000e-02 1.216290e-02
1.500000e+00 1.600000e+00 4.713000e-02 7.978621e-03
1.600000e+00 1.700000e+00 3.283000e-02 5.573240e-03
1.700000e+00 1.800000e+00 2.342000e-02 4.025481e-03
1.800000e+00 1.900000e+00 1.415000e-02 2.536632e-03
1.900000e+00 2.000000e+00 1.063000e-02 1.934580e-03
2.000000e+00 2.200000e+00 5.327000e-03 9.624510e-04
2.200000e+00 2.400000e+00 2.964000e-03 5.978043e-04
2.400000e+00 2.600000e+00 1.627000e-03 3.849480e-04
2.600000e+00 3.000000e+00 6.941000e-04 1.709976e-04
3.000000e+00 3.400000e+00 1.614000e-04 3.753731e-05
3.400000e+00 3.800000e+00 5.873000e-05 1.489178e-05
3.800000e+00 4.200000e+00 1.542000e-05 5.394979e-06
4.200000e+00 5.200000e+00 2.316000e-06 1.667112e-06
