# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Pion$^-$ (y= 2.95)
# XScale: linear
# YScale: log
# XLims: 3.500000e-01 5.200000e+00
# YLims: 9.000000e-07 1.100000e+02
# xmin xmax y y_err
3.500000e-01 4.000000e-01 1.894000e+01 1.923980e+00
4.000000e-01 4.500000e-01 1.426000e+01 1.459109e+00
4.500000e-01 5.000000e-01 1.067000e+01 1.106029e+00
5.000000e-01 5.500000e-01 8.093000e+00 8.544624e-01
5.500000e-01 6.000000e-01 5.909000e+00 6.544020e-01
6.000000e-01 6.500000e-01 4.676000e+00 5.669427e-01
6.500000e-01 7.000000e-01 3.660000e+00 4.087542e-01
7.000000e-01 7.500000e-01 2.617000e+00 2.780162e-01
7.500000e-01 8.000000e-01 1.959000e+00 2.058762e-01
8.000000e-01 8.500000e-01 1.510000e+00 1.584456e-01
8.500000e-01 9.000000e-01 1.188000e+00 1.252278e-01
9.000000e-01 9.500000e-01 8.972000e-01 9.533824e-02
9.500000e-01 1.000000e+00 6.932000e-01 7.408731e-02
1.000000e+00 1.100000e+00 4.505000e-01 7.126991e-02
1.100000e+00 1.200000e+00 2.736000e-01 4.368077e-02
1.200000e+00 1.300000e+00 1.667000e-01 2.698240e-02
1.300000e+00 1.400000e+00 1.024000e-01 1.699441e-02
1.400000e+00 1.500000e+00 6.938000e-02 1.155229e-02
1.500000e+00 1.600000e+00 3.935000e-02 6.737180e-03
1.600000e+00 1.700000e+00 3.245000e-02 5.564647e-03
1.700000e+00 1.800000e+00 2.001000e-02 3.569720e-03
1.800000e+00 1.900000e+00 1.454000e-02 2.682182e-03
1.900000e+00 2.000000e+00 9.468000e-03 1.806025e-03
2.000000e+00 2.200000e+00 5.112000e-03 9.089444e-04
2.200000e+00 2.400000e+00 2.057000e-03 3.956223e-04
2.400000e+00 2.600000e+00 1.060000e-03 2.229282e-04
2.600000e+00 3.000000e+00 3.599000e-04 7.849000e-05
3.000000e+00 3.400000e+00 9.032000e-05 2.079166e-05
3.400000e+00 3.800000e+00 2.731000e-05 7.192809e-06
3.800000e+00 4.200000e+00 1.119000e-05 3.582080e-06
4.200000e+00 5.200000e+00 1.376000e-06 9.630421e-07
