# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Kaon$^+$ (y= 2.95)
# XScale: linear
# YScale: log
# XLims: 7.500000e-01 5.200000e+00
# YLims: 9.000000e-08 1.100000e+00
# xmin xmax y y_err
7.500000e-01 8.000000e-01 1.924000e-01 5.665271e-02
8.000000e-01 8.500000e-01 1.782000e-01 3.917716e-02
8.500000e-01 9.000000e-01 2.365000e-01 4.343558e-02
9.000000e-01 9.500000e-01 2.032000e-01 3.917065e-02
9.500000e-01 1.000000e+00 1.292000e-01 2.929334e-02
1.000000e+00 1.100000e+00 1.176000e-01 2.470081e-02
1.100000e+00 1.200000e+00 8.945000e-02 1.600311e-02
1.200000e+00 1.300000e+00 5.178000e-02 8.993520e-03
1.300000e+00 1.400000e+00 3.654000e-02 6.266714e-03
1.400000e+00 1.500000e+00 2.214000e-02 3.878273e-03
1.500000e+00 1.600000e+00 1.458000e-02 2.617250e-03
1.600000e+00 1.700000e+00 1.143000e-02 2.073475e-03
1.700000e+00 1.800000e+00 7.593000e-03 1.451836e-03
1.800000e+00 1.900000e+00 4.497000e-03 9.442341e-04
1.900000e+00 2.000000e+00 4.584000e-03 9.512860e-04
2.000000e+00 2.200000e+00 2.889000e-03 5.835923e-04
2.200000e+00 2.400000e+00 1.315000e-03 3.250000e-04
2.400000e+00 2.600000e+00 5.543000e-04 1.902023e-04
2.600000e+00 3.000000e+00 1.521000e-04 4.422352e-05
3.000000e+00 3.400000e+00 4.459000e-05 1.417353e-05
3.400000e+00 3.800000e+00 1.880000e-05 6.725296e-06
3.800000e+00 4.200000e+00 8.000000e-06 3.744413e-06
4.200000e+00 5.200000e+00 1.251000e-06 1.241832e-06
