# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Kaon$^-$ (y= 2.95)
# XScale: linear
# YScale: log
# XLims: 7.500000e-01 5.200000e+00
# YLims: 9.000000e-08 1.100000e+00
# xmin xmax y y_err
7.500000e-01 8.000000e-01 1.544000e-01 2.636513e-02
8.000000e-01 8.500000e-01 1.808000e-01 2.402603e-02
8.500000e-01 9.000000e-01 1.726000e-01 2.219234e-02
9.000000e-01 9.500000e-01 1.455000e-01 1.927537e-02
9.500000e-01 1.000000e+00 1.496000e-01 1.965426e-02
1.000000e+00 1.100000e+00 1.014000e-01 1.714934e-02
1.100000e+00 1.200000e+00 6.046000e-02 1.045150e-02
1.200000e+00 1.300000e+00 3.431000e-02 6.097770e-03
1.300000e+00 1.400000e+00 2.193000e-02 4.001512e-03
1.400000e+00 1.500000e+00 1.515000e-02 2.842974e-03
1.500000e+00 1.600000e+00 1.153000e-02 2.212261e-03
1.600000e+00 1.700000e+00 8.946000e-03 1.762197e-03
1.700000e+00 1.800000e+00 4.617000e-03 1.037621e-03
1.800000e+00 1.900000e+00 2.841000e-03 6.743300e-04
1.900000e+00 2.000000e+00 1.864000e-03 4.585379e-04
2.000000e+00 2.200000e+00 8.988000e-04 2.114647e-04
2.200000e+00 2.400000e+00 5.140000e-04 1.314243e-04
2.400000e+00 2.600000e+00 1.531000e-04 5.787512e-05
2.600000e+00 3.000000e+00 6.588000e-05 1.925910e-05
3.000000e+00 3.400000e+00 1.871000e-05 6.363717e-06
3.400000e+00 3.800000e+00 7.076000e-06 2.874249e-06
3.800000e+00 4.200000e+00 1.851000e-06 1.255784e-06
4.200000e+00 5.200000e+00 7.901000e-07 7.406797e-07
