# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Proton (y= 2.95)
# XScale: linear
# YScale: log
# XLims: 8.000000e-01 4.200000e+00
# YLims: 9.000000e-07 1.100000e+00
# xmin xmax y y_err
8.000000e-01 8.500000e-01 5.629000e-01 6.983309e-02
8.500000e-01 9.000000e-01 3.985000e-01 4.966981e-02
9.000000e-01 9.500000e-01 3.454000e-01 4.296755e-02
9.500000e-01 1.000000e+00 2.685000e-01 3.354400e-02
1.000000e+00 1.100000e+00 2.101000e-01 3.306070e-02
1.100000e+00 1.200000e+00 1.401000e-01 2.210271e-02
1.200000e+00 1.300000e+00 9.422000e-02 1.496390e-02
1.300000e+00 1.400000e+00 6.130000e-02 9.838882e-03
1.400000e+00 1.500000e+00 3.733000e-02 6.106366e-03
1.500000e+00 1.600000e+00 2.554000e-02 4.256195e-03
1.600000e+00 1.700000e+00 2.045000e-02 3.453375e-03
1.700000e+00 1.800000e+00 1.433000e-02 2.491044e-03
1.800000e+00 1.900000e+00 8.322000e-03 1.584456e-03
1.900000e+00 2.000000e+00 5.708000e-03 1.174397e-03
2.000000e+00 2.200000e+00 3.400000e-03 6.891045e-04
2.200000e+00 2.400000e+00 1.453000e-03 2.983974e-04
2.400000e+00 2.600000e+00 6.914000e-04 1.314072e-04
2.600000e+00 3.000000e+00 2.387000e-04 4.372516e-05
3.000000e+00 3.400000e+00 6.278000e-05 1.510820e-05
3.400000e+00 3.800000e+00 1.967000e-05 6.077146e-06
3.800000e+00 4.200000e+00 7.788000e-06 3.576582e-06
