# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for AntiProton (y= 2.95)
# XScale: linear
# YScale: log
# XLims: 8.000000e-01 4.200000e+00
# YLims: 9.000000e-08 1.100000e+00
# xmin xmax y y_err
8.000000e-01 8.500000e-01 1.633000e-01 2.182476e-02
8.500000e-01 9.000000e-01 1.093000e-01 1.480608e-02
9.000000e-01 9.500000e-01 7.868000e-02 1.079681e-02
9.500000e-01 1.000000e+00 6.104000e-02 8.380263e-03
1.000000e+00 1.100000e+00 4.520000e-02 7.329372e-03
1.100000e+00 1.200000e+00 2.300000e-02 3.802762e-03
1.200000e+00 1.300000e+00 1.332000e-02 2.245395e-03
1.300000e+00 1.400000e+00 1.034000e-02 1.742441e-03
1.400000e+00 1.500000e+00 5.330000e-03 9.425455e-04
1.500000e+00 1.600000e+00 3.654000e-03 6.644246e-04
1.600000e+00 1.700000e+00 2.312000e-03 4.401136e-04
1.700000e+00 1.800000e+00 1.154000e-03 2.461747e-04
1.800000e+00 1.900000e+00 5.929000e-04 1.644706e-04
1.900000e+00 2.000000e+00 7.141000e-04 1.907160e-04
2.000000e+00 2.200000e+00 3.326000e-04 9.037809e-05
2.200000e+00 2.400000e+00 9.932000e-05 3.523374e-05
2.400000e+00 2.600000e+00 3.640000e-05 1.360419e-05
2.600000e+00 3.000000e+00 2.025000e-05 5.904202e-06
3.000000e+00 3.400000e+00 2.483000e-06 1.457541e-06
3.400000e+00 3.800000e+00 7.629000e-07 7.244391e-07
3.800000e+00 4.200000e+00 9.464000e-07 8.759517e-07
