# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Pion$^+$ (y= 3.3)
# XScale: linear
# YScale: log
# XLims: 4.500000e-01 4.200000e+00
# YLims: 9.000000e-07 1.100000e+02
# xmin xmax y y_err
4.500000e-01 5.000000e-01 8.952000e+00 1.001761e+00
5.000000e-01 5.500000e-01 7.341000e+00 7.783553e-01
5.500000e-01 6.000000e-01 5.849000e+00 6.242988e-01
6.000000e-01 6.500000e-01 4.244000e+00 4.781391e-01
6.500000e-01 7.000000e-01 2.889000e+00 2.960017e-01
7.000000e-01 7.500000e-01 2.175000e+00 2.209525e-01
7.500000e-01 8.000000e-01 1.767000e+00 1.787568e-01
8.000000e-01 8.500000e-01 1.270000e+00 1.287245e-01
8.500000e-01 9.000000e-01 1.034000e+00 1.049238e-01
9.000000e-01 9.500000e-01 7.645000e-01 7.899981e-02
9.500000e-01 1.000000e+00 5.355000e-01 5.670282e-02
1.000000e+00 1.100000e+00 3.248000e-01 5.148874e-02
1.100000e+00 1.200000e+00 2.409000e-01 3.802696e-02
1.200000e+00 1.300000e+00 1.369000e-01 2.208801e-02
1.300000e+00 1.400000e+00 7.190000e-02 1.135516e-02
1.400000e+00 1.500000e+00 4.823000e-02 7.536365e-03
1.500000e+00 1.600000e+00 3.154000e-02 4.920833e-03
1.600000e+00 1.700000e+00 2.103000e-02 3.285681e-03
1.700000e+00 1.800000e+00 1.418000e-02 2.227667e-03
1.800000e+00 1.900000e+00 1.061000e-02 1.676932e-03
1.900000e+00 2.000000e+00 6.335000e-03 1.038541e-03
2.000000e+00 2.200000e+00 2.994000e-03 4.764032e-04
2.200000e+00 2.400000e+00 1.485000e-03 2.347531e-04
2.400000e+00 2.600000e+00 7.080000e-04 1.127390e-04
2.600000e+00 3.000000e+00 2.406000e-04 3.856592e-05
3.000000e+00 3.400000e+00 6.082000e-05 1.266752e-05
3.400000e+00 3.800000e+00 1.442000e-05 4.374437e-06
3.800000e+00 4.200000e+00 4.884000e-06 4.242733e-06
