# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for Proton (y= 3.3)
# XScale: linear
# YScale: log
# XLims: 1.300000e+00 3.800000e+00
# YLims: 9.000000e-07 1.100000e-01
# xmin xmax y y_err
1.300000e+00 1.400000e+00 5.667000e-02 8.905532e-03
1.400000e+00 1.500000e+00 3.530000e-02 5.502808e-03
1.500000e+00 1.600000e+00 2.313000e-02 3.608005e-03
1.600000e+00 1.700000e+00 1.473000e-02 2.291572e-03
1.700000e+00 1.800000e+00 9.723000e-03 1.515790e-03
1.800000e+00 1.900000e+00 6.160000e-03 9.618992e-04
1.900000e+00 2.000000e+00 4.340000e-03 6.787290e-04
2.000000e+00 2.200000e+00 2.302000e-03 3.594621e-04
2.200000e+00 2.400000e+00 1.013000e-03 1.593047e-04
2.400000e+00 2.600000e+00 4.913000e-04 7.839005e-05
2.600000e+00 3.000000e+00 1.669000e-04 2.716708e-05
3.000000e+00 3.400000e+00 4.501000e-05 1.024266e-05
3.400000e+00 3.800000e+00 8.252000e-06 4.669157e-06
