# Version 0.0
# Observable: $\frac{1}{2\pi{p_{T}}}\frac{d^2\sigma}{dp_{T}dy}\left[mb(GeV^{-2})c^3\right]$
# Subobservable: $p_T \left[GeV\right]$
# Title: Invariant Cross Section for AntiProton (y= 3.3)
# XScale: linear
# YScale: log
# XLims: 1.300000e+00 3.400000e+00
# YLims: 9.000000e-08 1.100000e-02
# xmin xmax y y_err
1.300000e+00 1.400000e+00 3.895000e-03 7.200556e-04
1.400000e+00 1.500000e+00 2.332000e-03 3.937880e-04
1.500000e+00 1.600000e+00 1.520000e-03 2.536632e-04
1.600000e+00 1.700000e+00 8.914000e-04 1.500716e-04
1.700000e+00 1.800000e+00 4.584000e-04 7.965055e-05
1.800000e+00 1.900000e+00 3.369000e-04 5.895422e-05
1.900000e+00 2.000000e+00 2.133000e-04 3.862150e-05
2.000000e+00 2.200000e+00 1.007000e-04 1.806018e-05
2.200000e+00 2.400000e+00 2.867000e-05 6.451046e-06
2.400000e+00 2.600000e+00 1.546000e-05 4.112858e-06
2.600000e+00 3.000000e+00 4.347000e-06 1.521437e-06
3.000000e+00 3.400000e+00 9.054000e-07 8.380406e-07
