# Version 0.0
# Observable: $d\sigma/dp_T/d\eta$[mb/(GeV/c)]
# Subobservable: $p_T$[GeV/c]
# Title: Jet differential cross-section vs $p_T$
# XScale: linear
# YScale: log
# XLims: 8.000000e+00 4.200000e+01
# YLims: 9.000000e-09 1.100000e-03
# xmin xmax y y_err
8.000000e+00 9.000000e+00 5.870000e-04 2.361307e-04
9.000000e+00 1.000000e+01 2.998000e-04 1.104373e-04
1.000000e+01 1.200000e+01 1.334000e-04 4.900551e-05
1.200000e+01 1.450000e+01 4.080000e-05 1.479561e-05
1.450000e+01 1.750000e+01 1.246000e-05 4.381450e-06
1.750000e+01 2.050000e+01 4.280000e-06 1.347628e-06
2.050000e+01 2.450000e+01 1.400000e-06 4.821825e-07
2.450000e+01 2.900000e+01 4.110000e-07 1.215771e-07
2.900000e+01 3.400000e+01 1.020000e-07 1.964688e-08
3.400000e+01 4.200000e+01 2.500000e-08 5.468089e-09
