# Version 0.0
# Observable: $\frac{1}{N_{jet}}\frac{dN}{d\xi}$
# Subobservable: $\xi$
# Title: $\xi$ distribution for $p_T$ bin 9.0-10.0
# XScale: linear
# YScale: log
# XLims: 5.000000e-01 4.500000e+00
# YLims: 9.000000e-03 1.100000e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 7.390000e-01 8.967720e-02
1.000000e+00 1.500000e+00 9.390000e-01 2.251799e-01
1.500000e+00 2.000000e+00 9.010000e-01 1.444195e-01
2.000000e+00 2.500000e+00 6.170000e-01 1.442810e-01
2.500000e+00 3.000000e+00 3.930000e-01 1.162755e-01
3.000000e+00 3.500000e+00 2.380000e-01 8.584288e-02
3.500000e+00 3.750000e+00 1.670000e-01 6.129437e-02
3.750000e+00 4.000000e+00 6.270000e-02 1.436218e-01
4.000000e+00 4.250000e+00 5.790000e-02 7.432180e-02
4.250000e+00 4.500000e+00 5.240000e-02 1.667002e-02
