# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: $\pi^-$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e-01 1.000000e+01
# YLims: 9.000000e-10 1.100000e+01
# xmin xmax y y_err
3.000000e-01 4.000000e-01 9.710000e-01 7.855317e-02
4.000000e-01 5.000000e-01 5.470000e-01 4.442984e-02
5.000000e-01 6.000000e-01 3.090000e-01 2.527913e-02
6.000000e-01 7.000000e-01 1.840000e-01 1.520599e-02
7.000000e-01 8.000000e-01 1.000000e-01 8.391073e-03
8.000000e-01 9.000000e-01 6.360000e-02 5.429567e-03
9.000000e-01 1.000000e+00 3.800000e-02 3.338563e-03
1.000000e+00 1.100000e+00 2.440000e-02 2.205312e-03
1.100000e+00 1.200000e+00 1.570000e-02 1.477115e-03
1.200000e+00 1.400000e+00 8.700000e-03 8.037537e-04
1.400000e+00 1.600000e+00 3.620000e-03 3.796380e-04
1.600000e+00 1.800000e+00 1.690000e-03 2.218130e-04
1.800000e+00 2.000000e+00 1.100000e-03 2.066519e-04
2.000000e+00 2.500000e+00 3.500000e-04 1.011273e-04
2.500000e+00 3.000000e+00 1.000000e-04 1.324914e-05
3.000000e+00 3.500000e+00 2.830000e-05 3.720284e-06
3.500000e+00 4.000000e+00 9.000000e-06 1.208098e-06
4.000000e+00 4.500000e+00 3.860000e-06 5.274922e-07
4.500000e+00 5.000000e+00 1.500000e-06 2.191461e-07
5.000000e+00 6.000000e+00 4.400000e-07 7.002857e-08
6.000000e+00 7.000000e+00 1.070000e-07 2.518353e-08
7.000000e+00 8.000000e+00 3.270000e-08 1.320275e-08
8.000000e+00 1.000000e+01 7.830000e-09 4.643415e-09
