# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: Proton transverse momentum
# XScale: linear
# YScale: log
# XLims: 4.000000e-01 7.000000e+00
# YLims: 9.000000e-09 1.100000e-01
# xmin xmax y y_err
4.000000e-01 5.000000e-01 4.510000e-02 7.861120e-03
5.000000e-01 6.000000e-01 3.330000e-02 5.438106e-03
6.000000e-01 7.000000e-01 2.600000e-02 4.246092e-03
7.000000e-01 8.000000e-01 2.030000e-02 3.385853e-03
8.000000e-01 9.000000e-01 1.140000e-02 1.977397e-03
9.000000e-01 1.000000e+00 8.930000e-03 1.669012e-03
1.000000e+00 1.100000e+00 6.980000e-03 1.145636e-03
1.100000e+00 1.200000e+00 4.680000e-03 7.033136e-04
1.200000e+00 1.400000e+00 2.900000e-03 3.904100e-04
1.400000e+00 1.600000e+00 1.340000e-03 2.303584e-04
1.600000e+00 1.800000e+00 6.610000e-04 8.334129e-05
1.800000e+00 2.000000e+00 4.730000e-04 6.739792e-05
2.000000e+00 2.500000e+00 1.840000e-04 2.670917e-05
2.500000e+00 3.000000e+00 3.500000e-05 4.297395e-06
3.000000e+00 3.500000e+00 1.210000e-05 1.554670e-06
3.500000e+00 4.000000e+00 3.620000e-06 5.144667e-07
4.000000e+00 4.500000e+00 1.290000e-06 2.096950e-07
4.500000e+00 5.000000e+00 4.340000e-07 8.481421e-08
5.000000e+00 6.000000e+00 1.430000e-07 3.126979e-08
6.000000e+00 7.000000e+00 2.380000e-08 9.199739e-09
