# Version 0.0
# Observable: $\pi^- / \pi^+$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $\pi^- / \pi^+$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e-01 2.350000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
5.000000e-01 1.500000e+00 1.000000e+00 1.152606e-01
1.500000e+00 2.500000e+00 1.028000e+00 1.190504e-01
2.500000e+00 3.500000e+00 9.840000e-01 1.135650e-01
3.500000e+00 4.500000e+00 1.057000e+00 1.135650e-01
4.500000e+00 5.500000e+00 9.260000e-01 1.091100e-01
5.500000e+00 6.500000e+00 9.910000e-01 1.186802e-01
6.500000e+00 7.500000e+00 9.430000e-01 1.154513e-01
7.500000e+00 8.500000e+00 1.017000e+00 1.305986e-01
8.500000e+00 9.500000e+00 1.013000e+00 1.356798e-01
9.500000e+00 1.050000e+01 1.063000e+00 1.397891e-01
1.050000e+01 1.150000e+01 9.600000e-01 1.418732e-01
1.150000e+01 1.250000e+01 9.180000e-01 1.756018e-01
1.250000e+01 1.350000e+01 1.322000e+00 3.786357e-01
1.350000e+01 1.450000e+01 9.590000e-01 3.961641e-01
1.450000e+01 1.550000e+01 9.760000e-01 1.110856e-01
1.550000e+01 1.650000e+01 9.760000e-01 1.101136e-01
1.650000e+01 1.750000e+01 9.000000e-01 1.067755e-01
1.750000e+01 1.850000e+01 9.810000e-01 1.221188e-01
1.850000e+01 1.950000e+01 1.071000e+00 1.579525e-01
1.950000e+01 2.050000e+01 9.700000e-01 1.630276e-01
2.050000e+01 2.150000e+01 1.000000e+00 2.869233e-01
2.150000e+01 2.250000e+01 1.000000e+00 4.341659e-01
2.250000e+01 2.350000e+01 1.000000e+00 5.707013e-01
