# Version 0.0
# Observable: $\bar p / p$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $\bar p / p$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 4.000000e-01 2.050000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
5.000000e-01 1.500000e+00 8.290000e-01 1.896128e-01
1.500000e+00 2.500000e+00 8.530000e-01 1.852998e-01
2.500000e+00 3.500000e+00 8.730000e-01 1.914367e-01
3.500000e+00 4.500000e+00 6.500000e-01 1.420035e-01
4.500000e+00 5.500000e+00 9.210000e-01 2.108744e-01
5.500000e+00 6.500000e+00 8.030000e-01 1.938479e-01
6.500000e+00 7.500000e+00 8.020000e-01 1.562370e-01
7.500000e+00 8.500000e+00 8.060000e-01 1.520033e-01
8.500000e+00 9.500000e+00 7.960000e-01 1.324575e-01
9.500000e+00 1.050000e+01 7.230000e-01 1.508807e-01
1.050000e+01 1.150000e+01 9.000000e-01 1.621111e-01
1.150000e+01 1.250000e+01 7.550000e-01 1.600656e-01
1.250000e+01 1.350000e+01 6.090000e-01 1.436558e-01
1.350000e+01 1.450000e+01 8.260000e-01 9.314505e-02
1.450000e+01 1.550000e+01 7.950000e-01 9.415413e-02
1.550000e+01 1.650000e+01 8.460000e-01 1.816177e-01
1.650000e+01 1.750000e+01 8.080000e-01 1.339589e-01
1.750000e+01 1.850000e+01 9.290000e-01 2.068913e-01
1.850000e+01 1.950000e+01 7.270000e-01 1.906017e-01
1.950000e+01 2.050000e+01 8.040000e-01 4.222712e-01
