# Version 0.0
# Observable: $\bar p / \pi^-$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $\bar p / \pi^-$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 4.000000e-01 7.000000e+00
# YLims: 0.000000e+00 8.000000e-01
# xmin xmax y y_err
4.000000e-01 5.000000e-01 6.800000e-02 1.118034e-02
5.000000e-01 6.000000e-01 9.100000e-02 1.523155e-02
6.000000e-01 7.000000e-01 1.230000e-01 2.061553e-02
7.000000e-01 8.000000e-01 1.320000e-01 2.193171e-02
8.000000e-01 9.000000e-01 1.650000e-01 2.863564e-02
9.000000e-01 1.000000e+00 1.880000e-01 3.312099e-02
1.000000e+00 1.100000e+00 2.290000e-01 3.162278e-02
1.100000e+00 1.200000e+00 2.380000e-01 3.482815e-02
1.200000e+00 1.400000e+00 2.650000e-01 3.661967e-02
1.400000e+00 1.600000e+00 2.680000e-01 4.242641e-02
1.600000e+00 1.800000e+00 3.520000e-01 6.720119e-02
1.800000e+00 2.000000e+00 3.240000e-01 7.881624e-02
2.000000e+00 2.500000e+00 3.200000e-01 1.099864e-01
2.500000e+00 3.000000e+00 2.890000e-01 4.060788e-02
3.000000e+00 3.500000e+00 3.400000e-01 4.972927e-02
3.500000e+00 4.000000e+00 3.400000e-01 7.824321e-02
4.000000e+00 4.500000e+00 2.710000e-01 4.743416e-02
4.500000e+00 5.000000e+00 2.690000e-01 5.731492e-02
5.000000e+00 6.000000e+00 2.360000e-01 5.940539e-02
6.000000e+00 7.000000e+00 1.790000e-01 7.971198e-02
