# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_T dy dp_T)$ [GeV$^{-2}$]
# Subobservable: $p_T$ [GeV]
# Title: $\pi^+$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e+00 1.500000e+01
# YLims: 9.000000e-11 1.100000e-04
# xmin xmax y y_err
3.000000e+00 3.250000e+00 3.530000e-05 4.111628e-06
3.250000e+00 3.500000e+00 2.010000e-05 2.347620e-06
3.500000e+00 3.750000e+00 1.210000e-05 1.415619e-06
3.750000e+00 4.000000e+00 7.250000e-06 8.562594e-07
4.000000e+00 4.500000e+00 3.590000e-06 4.264552e-07
4.500000e+00 5.000000e+00 1.510000e-06 1.808584e-07
5.000000e+00 5.500000e+00 6.810000e-07 8.293217e-08
5.500000e+00 6.000000e+00 3.260000e-07 4.026914e-08
6.000000e+00 6.500000e+00 1.640000e-07 2.065413e-08
6.500000e+00 7.000000e+00 9.020000e-08 1.158463e-08
7.000000e+00 8.000000e+00 3.970000e-08 5.231176e-09
8.000000e+00 1.000000e+01 9.640000e-09 1.356047e-09
1.000000e+01 1.200000e+01 1.910000e-09 3.018066e-10
1.200000e+01 1.500000e+01 4.340000e-10 8.050770e-11
