# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: $\pi^-$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e+00 1.500000e+01
# YLims: 9.000000e-11 1.100000e-04
# xmin xmax y y_err
3.000000e+00 3.250000e+00 3.240000e-05 3.800329e-06
3.250000e+00 3.500000e+00 1.860000e-05 2.187093e-06
3.500000e+00 3.750000e+00 1.070000e-05 1.265147e-06
3.750000e+00 4.000000e+00 6.580000e-06 7.819403e-07
4.000000e+00 4.500000e+00 3.190000e-06 3.812869e-07
4.500000e+00 5.000000e+00 1.320000e-06 1.597537e-07
5.000000e+00 5.500000e+00 5.720000e-07 7.008138e-08
5.500000e+00 6.000000e+00 2.790000e-07 3.472366e-08
6.000000e+00 6.500000e+00 1.380000e-07 1.752036e-08
6.500000e+00 7.000000e+00 7.500000e-08 9.710824e-09
7.000000e+00 8.000000e+00 3.240000e-08 4.305168e-09
8.000000e+00 1.000000e+01 7.450000e-09 1.055633e-09
1.000000e+01 1.200000e+01 1.530000e-09 2.432875e-10
1.200000e+01 1.500000e+01 3.290000e-10 6.113101e-11
