# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: $K^+$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e+00 1.500000e+01
# YLims: 9.000000e-11 1.100000e-04
# xmin xmax y y_err
3.000000e+00 3.250000e+00 1.410000e-05 1.323508e-05
3.250000e+00 3.500000e+00 7.510000e-06 6.127517e-06
3.500000e+00 3.750000e+00 4.530000e-06 3.240690e-06
3.750000e+00 4.000000e+00 2.370000e-06 1.499667e-06
4.000000e+00 4.500000e+00 1.140000e-06 6.100674e-07
4.500000e+00 5.000000e+00 5.480000e-07 2.416047e-07
5.000000e+00 5.500000e+00 2.330000e-07 8.780718e-08
5.500000e+00 6.000000e+00 1.290000e-07 4.278226e-08
6.000000e+00 6.500000e+00 6.640000e-08 2.037203e-08
6.500000e+00 7.000000e+00 2.940000e-08 8.728803e-09
7.000000e+00 8.000000e+00 1.220000e-08 3.518096e-09
8.000000e+00 1.000000e+01 2.680000e-09 8.093411e-10
1.000000e+01 1.200000e+01 6.450000e-10 2.225764e-10
1.200000e+01 1.500000e+01 1.200000e-10 5.090540e-11
