# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: $K^-$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e+00 1.500000e+01
# YLims: 9.000000e-12 1.100000e-04
# xmin xmax y y_err
3.000000e+00 3.250000e+00 1.210000e-05 1.213095e-05
3.250000e+00 3.500000e+00 6.340000e-06 5.416077e-06
3.500000e+00 3.750000e+00 3.910000e-06 2.909425e-06
3.750000e+00 4.000000e+00 1.860000e-06 1.219139e-06
4.000000e+00 4.500000e+00 9.450000e-07 5.256384e-07
4.500000e+00 5.000000e+00 4.070000e-07 1.904677e-07
5.000000e+00 5.500000e+00 1.820000e-07 7.569412e-08
5.500000e+00 6.000000e+00 8.710000e-08 3.405803e-08
6.000000e+00 6.500000e+00 3.530000e-08 1.372031e-08
6.500000e+00 7.000000e+00 1.870000e-08 7.488898e-09
7.000000e+00 8.000000e+00 6.800000e-09 2.888012e-09
8.000000e+00 1.000000e+01 1.330000e-09 6.544647e-10
1.000000e+01 1.200000e+01 1.240000e-10 8.670092e-11
1.200000e+01 1.500000e+01 1.950000e-11 1.979520e-11
