# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: $\bar{p}$ transverse momentum
# XScale: linear
# YScale: log
# XLims: 3.000000e+00 1.500000e+01
# YLims: 9.000000e-12 1.100000e-04
# xmin xmax y y_err
3.000000e+00 3.250000e+00 1.180000e-05 8.562973e-06
3.250000e+00 3.500000e+00 5.850000e-06 3.680194e-06
3.500000e+00 3.750000e+00 2.700000e-06 1.521049e-06
3.750000e+00 4.000000e+00 1.770000e-06 9.127743e-07
4.000000e+00 4.500000e+00 7.190000e-07 3.366313e-07
4.500000e+00 5.000000e+00 2.480000e-07 1.098084e-07
5.000000e+00 5.500000e+00 9.880000e-08 4.331340e-08
5.500000e+00 6.000000e+00 3.830000e-08 1.693642e-08
6.000000e+00 6.500000e+00 1.940000e-08 8.677148e-09
6.500000e+00 7.000000e+00 1.090000e-08 4.923150e-09
7.000000e+00 8.000000e+00 3.360000e-09 1.523556e-09
8.000000e+00 1.000000e+01 6.100000e-10 2.794867e-10
1.000000e+01 1.200000e+01 1.640000e-10 7.420256e-11
1.200000e+01 1.500000e+01 3.350000e-11 1.611818e-11
