# Version 0.0
# Observable: $\pi^- / \pi^+$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $\pi^{-} / \pi^{+}$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e+00 1.500000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
3.000000e+00 3.250000e+00 9.250000e-01 1.941649e-02
3.250000e+00 3.500000e+00 9.300000e-01 2.163331e-02
3.500000e+00 3.750000e+00 8.920000e-01 2.302173e-02
3.750000e+00 4.000000e+00 9.150000e-01 2.580698e-02
4.000000e+00 4.500000e+00 8.970000e-01 2.594224e-02
4.500000e+00 5.000000e+00 8.880000e-01 3.001666e-02
5.000000e+00 5.500000e+00 8.510000e-01 3.275668e-02
5.500000e+00 6.000000e+00 8.690000e-01 3.744329e-02
6.000000e+00 6.500000e+00 8.550000e-01 4.161730e-02
6.500000e+00 7.000000e+00 8.470000e-01 4.640043e-02
7.000000e+00 8.000000e+00 8.360000e-01 4.802083e-02
8.000000e+00 1.000000e+01 7.960000e-01 5.458938e-02
1.000000e+01 1.200000e+01 8.320000e-01 7.766595e-02
1.200000e+01 1.500000e+01 8.020000e-01 9.602083e-02
