# Version 0.0
# Observable: $\bar{p} / p$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $\bar{p} / p $ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e+00 1.500000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
3.000000e+00 3.250000e+00 8.360000e-01 9.861541e-02
3.250000e+00 3.500000e+00 7.710000e-01 7.340981e-02
3.500000e+00 3.750000e+00 7.360000e-01 7.077429e-02
3.750000e+00 4.000000e+00 7.560000e-01 6.977822e-02
4.000000e+00 4.500000e+00 7.000000e-01 5.161395e-02
4.500000e+00 5.000000e+00 7.040000e-01 6.046487e-02
5.000000e+00 5.500000e+00 6.540000e-01 6.185467e-02
5.500000e+00 6.000000e+00 5.900000e-01 6.573431e-02
6.000000e+00 6.500000e+00 6.150000e-01 7.406079e-02
6.500000e+00 7.000000e+00 5.810000e-01 7.521303e-02
7.000000e+00 8.000000e+00 4.480000e-01 6.543699e-02
8.000000e+00 1.000000e+01 3.910000e-01 7.920859e-02
1.000000e+01 1.200000e+01 5.430000e-01 1.733667e-01
1.200000e+01 1.500000e+01 4.790000e-01 2.318987e-01
