# Version 0.0
# Observable: $K^- / K^+$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $K^{-} / K^{+}$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e+00 1.500000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
3.000000e+00 3.250000e+00 8.630000e-01 1.046900e-01
3.250000e+00 3.500000e+00 8.450000e-01 9.831073e-02
3.500000e+00 3.750000e+00 8.650000e-01 9.783660e-02
3.750000e+00 4.000000e+00 7.870000e-01 1.012373e-01
4.000000e+00 4.500000e+00 8.310000e-01 9.261749e-02
4.500000e+00 5.000000e+00 7.440000e-01 8.420214e-02
5.000000e+00 5.500000e+00 7.830000e-01 9.436631e-02
5.500000e+00 6.000000e+00 6.800000e-01 8.655634e-02
6.000000e+00 6.500000e+00 5.350000e-01 7.849204e-02
6.500000e+00 7.000000e+00 6.410000e-01 1.090413e-01
7.000000e+00 8.000000e+00 5.610000e-01 1.056456e-01
8.000000e+00 1.000000e+01 5.030000e-01 1.587608e-01
1.000000e+01 1.200000e+01 1.970000e-01 1.536815e-01
1.200000e+01 1.500000e+01 1.710000e-01 2.356480e-01
