# Version 0.0
# Observable: $p / \pi^+$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $p / \pi^{+}$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e+00 1.500000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
3.000000e+00 3.250000e+00 3.840000e-01 3.122579e-01
3.250000e+00 3.500000e+00 3.630000e-01 2.518770e-01
3.500000e+00 3.750000e+00 2.940000e-01 1.788100e-01
3.750000e+00 4.000000e+00 3.130000e-01 1.718430e-01
4.000000e+00 4.500000e+00 2.790000e-01 1.373645e-01
4.500000e+00 5.000000e+00 2.280000e-01 1.074663e-01
5.000000e+00 5.500000e+00 2.170000e-01 1.025914e-01
5.500000e+00 6.000000e+00 1.960000e-01 9.464143e-02
6.000000e+00 6.500000e+00 1.890000e-01 9.453042e-02
6.500000e+00 7.000000e+00 2.040000e-01 1.058017e-01
7.000000e+00 8.000000e+00 1.860000e-01 9.972462e-02
8.000000e+00 1.000000e+01 1.590000e-01 9.079648e-02
1.000000e+01 1.200000e+01 1.560000e-01 9.436631e-02
1.200000e+01 1.500000e+01 1.610000e-01 1.040433e-01
