# Version 0.0
# Observable: $\bar{p} / \pi^-$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $\bar{p} / \pi^{-}$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e+00 1.500000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
3.000000e+00 3.250000e+00 3.500000e-01 2.704533e-01
3.250000e+00 3.500000e+00 3.050000e-01 2.059733e-01
3.500000e+00 3.750000e+00 2.460000e-01 1.499667e-01
3.750000e+00 4.000000e+00 2.630000e-01 1.469864e-01
4.000000e+00 4.500000e+00 2.210000e-01 1.134416e-01
4.500000e+00 5.000000e+00 1.850000e-01 8.956004e-02
5.000000e+00 5.500000e+00 1.720000e-01 8.211121e-02
5.500000e+00 6.000000e+00 1.370000e-01 6.576473e-02
6.000000e+00 6.500000e+00 1.420000e-01 6.888396e-02
6.500000e+00 7.000000e+00 1.470000e-01 7.200694e-02
7.000000e+00 8.000000e+00 1.050000e-01 5.197115e-02
8.000000e+00 1.000000e+01 8.440000e-02 4.123106e-02
1.000000e+01 1.200000e+01 1.130000e-01 5.375872e-02
1.200000e+01 1.500000e+01 1.100000e-01 5.333854e-02
