# Version 0.0
# Observable: $K^{\pm} / \pi^{\pm}$
# Subobservable: $p_\perp$ [GeV]
# Title: Ratio of $K^{+} / \pi^{+}$ as function of $p_\perp$
# XScale: linear
# YScale: linear
# XLims: 3.000000e+00 1.500000e+01
# YLims: 0.000000e+00 2.000000e+00
# xmin xmax y y_err
3.000000e+00 3.250000e+00 3.780000e-01 3.763841e-01
3.250000e+00 3.500000e+00 3.510000e-01 3.013254e-01
3.500000e+00 3.750000e+00 3.640000e-01 2.743574e-01
3.750000e+00 4.000000e+00 2.990000e-01 1.994919e-01
4.000000e+00 4.500000e+00 3.020000e-01 1.713534e-01
4.500000e+00 5.000000e+00 3.310000e-01 1.564609e-01
5.000000e+00 5.500000e+00 3.260000e-01 1.346291e-01
5.500000e+00 6.000000e+00 3.500000e-01 1.318560e-01
6.000000e+00 6.500000e+00 3.280000e-01 1.182286e-01
6.500000e+00 7.000000e+00 2.850000e-01 1.016071e-01
7.000000e+00 8.000000e+00 2.570000e-01 9.338094e-02
8.000000e+00 1.000000e+01 2.270000e-01 9.042677e-02
1.000000e+01 1.200000e+01 2.060000e-01 9.437161e-02
1.200000e+01 1.500000e+01 1.630000e-01 8.746428e-02
