# Version 0.0
# Observable: $1/N_{jets}$
# Subobservable: $R_{g}$
# Title: $R=0.6 ~ 25 < p_{T} < 30$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 6.500000e-01
# YLims: 9.000000e-03 1.100000e+01
# xmin xmax y y_err
0.000000e+00 5.000000e-02 4.610000e-01 7.071068e-02
5.000000e-02 1.000000e-01 1.496000e+00 2.220923e-01
1.000000e-01 1.500000e-01 2.721000e+00 3.709838e-01
1.500000e-01 2.000000e-01 2.893000e+00 1.488523e-01
2.000000e-01 2.500000e-01 2.462000e+00 1.147563e-01
2.500000e-01 3.000000e-01 2.088000e+00 1.161034e-01
3.000000e-01 3.500000e-01 1.819000e+00 9.806121e-02
3.500000e-01 4.000000e-01 1.607000e+00 2.179197e-01
4.000000e-01 4.500000e-01 1.504000e+00 1.801139e-01
4.500000e-01 5.000000e-01 1.270000e+00 9.338094e-02
5.000000e-01 5.500000e-01 1.110000e+00 1.320984e-01
5.500000e-01 6.000000e-01 5.210000e-01 9.751410e-02
6.000000e-01 6.500000e-01 4.300000e-02 8.544004e-03
