# Version 0.0
# Observable: $1/N dN/dM_{g} [c^{2}/GeV]$
# Subobservable: $M_{g} [GeV/c^{2}]$
# Title: $R=0.4 ~ 30 < p_{T} < 40$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 1.400000e+01
# YLims: 9.000000e-05 1.100000e+00
# xmin xmax y y_err
0.000000e+00 1.000000e+00 1.830000e-02 6.082763e-03
1.000000e+00 2.000000e+00 1.097000e-01 1.220000e-02
2.000000e+00 3.000000e+00 1.941000e-01 1.331953e-02
3.000000e+00 4.000000e+00 1.933000e-01 8.324062e-03
4.000000e+00 5.000000e+00 1.676000e-01 1.414214e-02
5.000000e+00 6.000000e+00 1.187000e-01 1.208139e-02
6.000000e+00 7.000000e+00 8.960000e-02 8.139410e-03
7.000000e+00 8.000000e+00 5.360000e-02 6.053098e-03
8.000000e+00 9.000000e+00 3.050000e-02 8.030567e-03
9.000000e+00 1.000000e+01 1.690000e-02 3.535534e-03
1.000000e+01 1.100000e+01 4.770000e-03 3.311857e-03
1.100000e+01 1.200000e+01 1.930000e-03 1.801000e-03
1.200000e+01 1.300000e+01 5.570000e-04 6.006530e-04
1.300000e+01 1.400000e+01 2.070000e-04 2.100857e-04
