# Version 0.0
# Observable: $1/N dN/dM [c^{2}/GeV]$
# Subobservable: $M [GeV/c^{2}]$
# Title: $R=0.2 ~ 30 < p_{T} < 40$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 1.100000e+01
# YLims: 9.000000e-06 1.100000e+00
# xmin xmax y y_err
0.000000e+00 1.000000e+00 9.300000e-03 6.053098e-03
1.000000e+00 2.000000e+00 1.000000e-01 1.552417e-02
2.000000e+00 3.000000e+00 3.050000e-01 5.035871e-02
3.000000e+00 4.000000e+00 2.940000e-01 2.451530e-02
4.000000e+00 5.000000e+00 1.674000e-01 3.407771e-02
5.000000e+00 6.000000e+00 7.990000e-02 3.101612e-02
6.000000e+00 7.000000e+00 2.940000e-02 1.500833e-02
7.000000e+00 8.000000e+00 1.232000e-02 7.005205e-03
8.000000e+00 9.000000e+00 2.500000e-03 1.801777e-03
9.000000e+00 1.000000e+01 3.260000e-04 2.904978e-04
1.000000e+01 1.100000e+01 6.250000e-05 7.007774e-05
