# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransAVE charged-particle density $\sqrt{s}=300\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 1.500000e+01
# YLims: 0.000000e+00 1.477157e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 6.700000e-02 1.290039e-02
1.000000e+00 1.500000e+00 1.723000e-01 1.300154e-02
1.500000e+00 2.000000e+00 2.347000e-01 1.260635e-02
2.000000e+00 2.500000e+00 2.664000e-01 1.312440e-02
2.500000e+00 3.000000e+00 2.844000e-01 9.701546e-03
3.000000e+00 3.500000e+00 2.979000e-01 9.217917e-03
3.500000e+00 4.000000e+00 3.087000e-01 1.036195e-02
4.000000e+00 4.500000e+00 3.011000e-01 1.135341e-02
4.500000e+00 5.000000e+00 3.118000e-01 1.509039e-02
5.000000e+00 6.000000e+00 3.031000e-01 1.381050e-02
6.000000e+00 7.000000e+00 3.015000e-01 1.947434e-02
7.000000e+00 8.000000e+00 3.304000e-01 3.358392e-02
8.000000e+00 1.000000e+01 2.925000e-01 4.010050e-02
1.000000e+01 1.500000e+01 2.644000e-01 6.669130e-02
