# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMIN charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=300\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 1.500000e+01
# YLims: 0.000000e+00 9.205482e-01
# xmin xmax y y_err
5.000000e-01 1.000000e+00 6.400000e-03 1.500000e-03
1.000000e+00 1.500000e+00 3.100000e-02 3.001666e-03
1.500000e+00 2.000000e+00 5.550000e-02 3.805260e-03
2.000000e+00 2.500000e+00 6.910000e-02 5.223983e-03
2.500000e+00 3.000000e+00 7.860000e-02 3.228002e-03
3.000000e+00 3.500000e+00 8.760000e-02 3.535534e-03
3.500000e+00 4.000000e+00 9.570000e-02 4.186884e-03
4.000000e+00 4.500000e+00 9.230000e-02 4.992995e-03
4.500000e+00 5.000000e+00 8.920000e-02 8.626703e-03
5.000000e+00 6.000000e+00 8.230000e-02 6.574192e-03
6.000000e+00 7.000000e+00 8.410000e-02 1.173243e-02
7.000000e+00 8.000000e+00 1.132000e-01 2.034207e-02
8.000000e+00 1.000000e+01 7.010000e-02 2.171658e-02
1.000000e+01 1.500000e+01 8.470000e-02 3.357529e-02
