# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransDIF charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=300\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 1.500000e+01
# YLims: 0.000000e+00 1.084122e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 7.070000e-02 1.310153e-02
1.000000e+00 1.500000e+00 1.914000e-01 1.320606e-02
1.500000e+00 2.000000e+00 2.710000e-01 1.193399e-02
2.000000e+00 2.500000e+00 3.199000e-01 1.134372e-02
2.500000e+00 3.000000e+00 3.512000e-01 9.551963e-03
3.000000e+00 3.500000e+00 3.635000e-01 1.376154e-02
3.500000e+00 4.000000e+00 3.774000e-01 1.514332e-02
4.000000e+00 4.500000e+00 3.735000e-01 1.803802e-02
4.500000e+00 5.000000e+00 3.955000e-01 2.312250e-02
5.000000e+00 6.000000e+00 4.011000e-01 2.429239e-02
6.000000e+00 7.000000e+00 4.034000e-01 4.316538e-02
7.000000e+00 8.000000e+00 3.858000e-01 5.744154e-02
8.000000e+00 1.000000e+01 4.283000e-01 9.318551e-02
1.000000e+01 1.500000e+01 3.164000e-01 1.169825e-01
