# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransDIF charged-particle density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 2.626056e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.420000e-01 1.340149e-02
1.000000e+00 1.500000e+00 3.221000e-01 1.120179e-02
1.500000e+00 2.000000e+00 4.229000e-01 1.310611e-02
2.000000e+00 2.500000e+00 4.789000e-01 1.351333e-02
2.500000e+00 3.000000e+00 5.093000e-01 1.323782e-02
3.000000e+00 3.500000e+00 5.324000e-01 1.080463e-02
3.500000e+00 4.000000e+00 5.395000e-01 1.269212e-02
4.000000e+00 4.500000e+00 5.470000e-01 1.232274e-02
4.500000e+00 5.000000e+00 5.500000e-01 1.268740e-02
5.000000e+00 6.000000e+00 5.529000e-01 1.448378e-02
6.000000e+00 7.000000e+00 5.659000e-01 1.555538e-02
7.000000e+00 8.000000e+00 5.435000e-01 2.275895e-02
8.000000e+00 1.000000e+01 5.591000e-01 2.284841e-02
1.000000e+01 1.500000e+01 5.700000e-01 3.667056e-02
1.500000e+01 2.000000e+01 5.108000e-01 8.832497e-02
