# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMAX charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 3.447871e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.000000e-01 9.700000e-03
1.000000e+00 1.500000e+00 2.997000e-01 1.080046e-02
1.500000e+00 2.000000e+00 4.687000e-01 1.450310e-02
2.000000e+00 2.500000e+00 5.860000e-01 1.650757e-02
2.500000e+00 3.000000e+00 6.587000e-01 1.932097e-02
3.000000e+00 3.500000e+00 7.011000e-01 2.843449e-02
3.500000e+00 4.000000e+00 7.284000e-01 2.191073e-02
4.000000e+00 4.500000e+00 7.468000e-01 2.153903e-02
4.500000e+00 5.000000e+00 7.637000e-01 2.216168e-02
5.000000e+00 6.000000e+00 7.793000e-01 2.197635e-02
6.000000e+00 7.000000e+00 8.168000e-01 2.345421e-02
7.000000e+00 8.000000e+00 7.936000e-01 3.198281e-02
8.000000e+00 1.000000e+01 8.365000e-01 3.099435e-02
1.000000e+01 1.500000e+01 8.734000e-01 4.386570e-02
1.500000e+01 2.000000e+01 7.853000e-01 1.116258e-01
