# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMIN charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 1.527381e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.000000e-02 1.200000e-03
1.000000e+00 1.500000e+00 5.110000e-02 2.402082e-03
1.500000e+00 2.000000e+00 1.002000e-01 3.801316e-03
2.000000e+00 2.500000e+00 1.343000e-01 4.704253e-03
2.500000e+00 3.000000e+00 1.578000e-01 6.711930e-03
3.000000e+00 3.500000e+00 1.696000e-01 9.426028e-03
3.500000e+00 4.000000e+00 1.778000e-01 8.956004e-03
4.000000e+00 4.500000e+00 1.800000e-01 9.124144e-03
4.500000e+00 5.000000e+00 1.852000e-01 9.339165e-03
5.000000e+00 6.000000e+00 1.858000e-01 9.386160e-03
6.000000e+00 7.000000e+00 1.924000e-01 9.900505e-03
7.000000e+00 8.000000e+00 1.828000e-01 1.221884e-02
8.000000e+00 1.000000e+01 1.919000e-01 1.415238e-02
1.000000e+01 1.500000e+01 1.711000e-01 1.647847e-02
1.500000e+01 2.000000e+01 1.777000e-01 3.031468e-02
