# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransAVE charged-particle density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 3.009023e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 9.270000e-02 1.280039e-02
1.000000e+00 1.500000e+00 2.606000e-01 1.320038e-02
1.500000e+00 2.000000e+00 3.938000e-01 1.450138e-02
2.000000e+00 2.500000e+00 4.860000e-01 1.630491e-02
2.500000e+00 3.000000e+00 5.397000e-01 1.701058e-02
3.000000e+00 3.500000e+00 5.664000e-01 1.562594e-02
3.500000e+00 4.000000e+00 5.790000e-01 1.694993e-02
4.000000e+00 4.500000e+00 5.889000e-01 2.077811e-02
4.500000e+00 5.000000e+00 5.962000e-01 2.183232e-02
5.000000e+00 6.000000e+00 6.013000e-01 2.124759e-02
6.000000e+00 7.000000e+00 6.031000e-01 2.237878e-02
7.000000e+00 8.000000e+00 6.158000e-01 2.461971e-02
8.000000e+00 1.000000e+01 6.145000e-01 2.852367e-02
1.000000e+01 1.500000e+01 6.154000e-01 3.238271e-02
1.500000e+01 2.000000e+01 6.710000e-01 4.763885e-02
