# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransDIF charged-particle density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 1.805414e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.484000e-01 1.950103e-02
1.000000e+00 1.500000e+00 3.442000e-01 1.580285e-02
1.500000e+00 2.000000e+00 4.648000e-01 1.430559e-02
2.000000e+00 2.500000e+00 5.335000e-01 1.471224e-02
2.500000e+00 3.000000e+00 5.729000e-01 1.482734e-02
3.000000e+00 3.500000e+00 5.933000e-01 1.396066e-02
3.500000e+00 4.000000e+00 6.050000e-01 1.402926e-02
4.000000e+00 4.500000e+00 6.150000e-01 1.650606e-02
4.500000e+00 5.000000e+00 6.199000e-01 1.892644e-02
5.000000e+00 6.000000e+00 6.252000e-01 1.857229e-02
6.000000e+00 7.000000e+00 6.392000e-01 2.068913e-02
7.000000e+00 8.000000e+00 6.425000e-01 2.675892e-02
8.000000e+00 1.000000e+01 6.383000e-01 3.074150e-02
1.000000e+01 1.500000e+01 6.401000e-01 3.570224e-02
1.500000e+01 2.000000e+01 7.017000e-01 6.181812e-02
