# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMIN charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 2.790623e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.120000e-02 1.900000e-03
1.000000e+00 1.500000e+00 6.220000e-02 3.801316e-03
1.500000e+00 2.000000e+00 1.259000e-01 6.000833e-03
2.000000e+00 2.500000e+00 1.824000e-01 7.705842e-03
2.500000e+00 3.000000e+00 2.194000e-01 7.915807e-03
3.000000e+00 3.500000e+00 2.375000e-01 7.233948e-03
3.500000e+00 4.000000e+00 2.488000e-01 1.006032e-02
4.000000e+00 4.500000e+00 2.567000e-01 1.090367e-02
4.500000e+00 5.000000e+00 2.624000e-01 1.119866e-02
5.000000e+00 6.000000e+00 2.653000e-01 1.121784e-02
6.000000e+00 7.000000e+00 2.611000e-01 1.259603e-02
7.000000e+00 8.000000e+00 2.724000e-01 1.301883e-02
8.000000e+00 1.000000e+01 2.806000e-01 1.373536e-02
1.000000e+01 1.500000e+01 2.754000e-01 1.878430e-02
1.500000e+01 2.000000e+01 2.916000e-01 2.828162e-02
