# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransDIF charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=1.96\,\mathrm{TeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 2.665226e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 9.460000e-02 1.260040e-02
1.000000e+00 1.500000e+00 2.680000e-01 1.240161e-02
1.500000e+00 2.000000e+00 4.134000e-01 1.240645e-02
2.000000e+00 2.500000e+00 5.154000e-01 1.341343e-02
2.500000e+00 3.000000e+00 5.835000e-01 1.483375e-02
3.000000e+00 3.500000e+00 6.273000e-01 1.298692e-02
3.500000e+00 4.000000e+00 6.543000e-01 1.894017e-02
4.000000e+00 4.500000e+00 6.748000e-01 1.907040e-02
4.500000e+00 5.000000e+00 6.942000e-01 2.030493e-02
5.000000e+00 6.000000e+00 7.142000e-01 1.920937e-02
6.000000e+00 7.000000e+00 7.411000e-01 2.033937e-02
7.000000e+00 8.000000e+00 7.605000e-01 2.573908e-02
8.000000e+00 1.000000e+01 7.816000e-01 3.287324e-02
1.000000e+01 1.500000e+01 8.091000e-01 3.335416e-02
1.500000e+01 2.000000e+01 9.155000e-01 6.611883e-02
