# Version 0.0
# Observable: $1/(2\pi) \, d^2N/(p_\perp dy dp_\perp)$ [GeV$^{-2}$]
# Subobservable: $p_\perp$ [GeV]
# Title: Anti-proton transverse momentum
# XScale: linear
# YScale: log
# XLims: 4.000000e-01 6.000000e+00
# YLims: 9.000000e-09 1.100000e-01
# xmin xmax y y_err
4.000000e-01 5.000000e-01 3.740000e-02 5.511769e-03
5.000000e-01 6.000000e-01 2.840000e-02 4.101573e-03
6.000000e-01 7.000000e-01 2.270000e-02 3.265884e-03
7.000000e-01 8.000000e-01 1.320000e-02 1.916331e-03
8.000000e-01 9.000000e-01 1.050000e-02 1.547676e-03
9.000000e-01 1.000000e+00 7.170000e-03 1.077137e-03
1.000000e+00 1.100000e+00 5.600000e-03 5.855194e-04
1.100000e+00 1.200000e+00 3.740000e-03 4.137596e-04
1.200000e+00 1.400000e+00 2.310000e-03 2.367636e-04
1.400000e+00 1.600000e+00 9.690000e-04 1.175619e-04
1.600000e+00 1.800000e+00 5.950000e-04 8.178025e-05
1.800000e+00 2.000000e+00 3.570000e-04 5.578862e-05
2.000000e+00 2.500000e+00 1.120000e-04 2.099393e-05
2.500000e+00 3.000000e+00 2.890000e-05 3.554665e-06
3.000000e+00 3.500000e+00 9.640000e-06 1.245080e-06
3.500000e+00 4.000000e+00 3.060000e-06 6.766284e-07
4.000000e+00 4.500000e+00 1.050000e-06 1.720809e-07
4.500000e+00 5.000000e+00 4.030000e-07 8.075172e-08
5.000000e+00 6.000000e+00 1.040000e-07 2.520714e-08
