# Version 0.0
# Observable: $1/N_{jets}$
# Subobservable: $R_{g}$
# Title: $R=0.6 ~ 40 < p_{T} < 60$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 6.500000e-01
# YLims: 9.000000e-03 1.100000e+01
# xmin xmax y y_err
0.000000e+00 5.000000e-02 1.467000e+00 2.974777e-01
5.000000e-02 1.000000e-01 4.011000e+00 6.224757e-01
1.000000e-01 1.500000e-01 3.401000e+00 4.043526e-01
1.500000e-01 2.000000e-01 3.581000e+00 5.714342e-01
2.000000e-01 2.500000e-01 1.901000e+00 2.583060e-01
2.500000e-01 3.000000e-01 1.351000e+00 4.065280e-01
3.000000e-01 3.500000e-01 7.880000e-01 1.730780e-01
3.500000e-01 4.000000e-01 1.131000e+00 2.667002e-01
4.000000e-01 4.500000e-01 8.680000e-01 4.019079e-01
4.500000e-01 5.000000e-01 6.110000e-01 1.178007e-01
5.000000e-01 5.500000e-01 6.010000e-01 2.618416e-01
5.500000e-01 6.000000e-01 2.430000e-01 5.025157e-01
6.000000e-01 6.500000e-01 3.200000e-02 5.110773e-02
