# Version 0.0
# Observable: $1/N dN/dM [c^{2}/GeV]$
# Subobservable: $M [GeV/c^{2}]$
# Title: $R=0.4 ~ 20 < p_{T} < 25$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 1.200000e+01
# YLims: 9.000000e-06 1.100000e+00
# xmin xmax y y_err
0.000000e+00 1.000000e+00 5.450000e-03 1.902630e-03
1.000000e+00 2.000000e+00 3.750000e-02 7.034913e-03
2.000000e+00 3.000000e+00 1.634000e-01 2.102380e-02
3.000000e+00 4.000000e+00 2.644000e-01 1.704230e-02
4.000000e+00 5.000000e+00 2.336000e-01 2.401333e-02
5.000000e+00 6.000000e+00 1.593000e-01 1.500833e-02
6.000000e+00 7.000000e+00 8.728000e-02 2.500192e-02
7.000000e+00 8.000000e+00 3.485000e-02 1.700130e-02
8.000000e+00 9.000000e+00 1.137000e-02 4.002449e-03
9.000000e+00 1.000000e+01 2.460000e-03 2.000289e-03
1.000000e+01 1.100000e+01 3.746000e-04 6.000037e-04
