# Version 0.0
# Observable: $1/N dN/dM_{g} [c^{2}/GeV]$
# Subobservable: $M_{g} [GeV/c^{2}]$
# Title: $R=0.4 ~ 20 < p_{T} < 25$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 1.200000e+01
# YLims: 9.000000e-06 1.100000e+00
# xmin xmax y y_err
0.000000e+00 1.000000e+00 2.930000e-02 5.024938e-03
1.000000e+00 2.000000e+00 1.271000e-01 1.405133e-02
2.000000e+00 3.000000e+00 2.229000e-01 2.203270e-02
3.000000e+00 4.000000e+00 2.306000e-01 8.062258e-03
4.000000e+00 5.000000e+00 1.829000e-01 1.802249e-02
5.000000e+00 6.000000e+00 1.146000e-01 1.001249e-02
6.000000e+00 7.000000e+00 5.737000e-02 1.000544e-02
7.000000e+00 8.000000e+00 2.475000e-02 1.100164e-02
8.000000e+00 9.000000e+00 8.400000e-03 4.001012e-03
9.000000e+00 1.000000e+01 1.756000e-03 1.400437e-03
1.000000e+01 1.100000e+01 1.826000e-04 2.600151e-04
