# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransDIF charged-particle density $\sqrt{s}=300\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 1.000000e+01
# YLims: 0.000000e+00 1.158554e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.126000e-01 2.060218e-02
1.000000e+00 1.500000e+00 2.529000e-01 1.731040e-02
1.500000e+00 2.000000e+00 3.201000e-01 1.453444e-02
2.000000e+00 2.500000e+00 3.553000e-01 1.272792e-02
2.500000e+00 3.000000e+00 3.737000e-01 1.145600e-02
3.000000e+00 3.500000e+00 3.817000e-01 1.294681e-02
3.500000e+00 4.000000e+00 3.849000e-01 1.456468e-02
4.000000e+00 4.500000e+00 3.828000e-01 1.768672e-02
4.500000e+00 5.000000e+00 4.084000e-01 2.229484e-02
5.000000e+00 6.000000e+00 3.981000e-01 2.486544e-02
6.000000e+00 7.000000e+00 3.976000e-01 3.786357e-02
7.000000e+00 8.000000e+00 3.822000e-01 5.569004e-02
8.000000e+00 1.000000e+01 4.182000e-01 8.429264e-02
