# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMAX charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=300\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 1.000000e+01
# YLims: 0.000000e+00 1.843881e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 7.710000e-02 1.460034e-02
1.000000e+00 1.500000e+00 2.224000e-01 1.610279e-02
1.500000e+00 2.000000e+00 3.265000e-01 1.561153e-02
2.000000e+00 2.500000e+00 3.890000e-01 1.604494e-02
2.500000e+00 3.000000e+00 4.298000e-01 1.200333e-02
3.000000e+00 3.500000e+00 4.510000e-01 1.625054e-02
3.500000e+00 4.000000e+00 4.731000e-01 1.700970e-02
4.000000e+00 4.500000e+00 4.658000e-01 1.794714e-02
4.500000e+00 5.000000e+00 4.847000e-01 2.073282e-02
5.000000e+00 6.000000e+00 4.834000e-01 1.974259e-02
6.000000e+00 7.000000e+00 4.876000e-01 3.405775e-02
7.000000e+00 8.000000e+00 4.990000e-01 5.452651e-02
8.000000e+00 1.000000e+01 4.984000e-01 7.849025e-02
