# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransAVE charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=300\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 1.000000e+01
# YLims: 0.000000e+00 1.382215e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 4.180000e-02 8.100000e-03
1.000000e+00 1.500000e+00 1.267000e-01 9.502105e-03
1.500000e+00 2.000000e+00 1.910000e-01 9.708244e-03
2.000000e+00 2.500000e+00 2.291000e-01 1.052331e-02
2.500000e+00 3.000000e+00 2.542000e-01 7.433034e-03
3.000000e+00 3.500000e+00 2.693000e-01 9.798469e-03
3.500000e+00 4.000000e+00 2.844000e-01 1.030776e-02
4.000000e+00 4.500000e+00 2.791000e-01 1.078981e-02
4.500000e+00 5.000000e+00 2.869000e-01 1.376445e-02
5.000000e+00 6.000000e+00 2.829000e-01 1.204201e-02
6.000000e+00 7.000000e+00 2.858000e-01 2.021410e-02
7.000000e+00 8.000000e+00 3.061000e-01 3.371365e-02
8.000000e+00 1.000000e+01 2.842000e-01 4.678226e-02
