# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMAX charged-particle density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 3.939085e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.585000e-01 1.530033e-02
1.000000e+00 1.500000e+00 3.956000e-01 1.450138e-02
1.500000e+00 2.000000e+00 5.536000e-01 1.800250e-02
2.000000e+00 2.500000e+00 6.454000e-01 1.930648e-02
2.500000e+00 3.000000e+00 6.968000e-01 2.131502e-02
3.000000e+00 3.500000e+00 7.306000e-01 1.734878e-02
3.500000e+00 4.000000e+00 7.444000e-01 1.531829e-02
4.000000e+00 4.500000e+00 7.544000e-01 1.653874e-02
4.500000e+00 5.000000e+00 7.609000e-01 1.734416e-02
5.000000e+00 6.000000e+00 7.619000e-01 2.041593e-02
6.000000e+00 7.000000e+00 7.791000e-01 2.040221e-02
7.000000e+00 8.000000e+00 7.488000e-01 3.056043e-02
8.000000e+00 1.000000e+01 7.726000e-01 2.884874e-02
1.000000e+01 1.500000e+01 7.579000e-01 4.365192e-02
1.500000e+01 2.000000e+01 7.075000e-01 1.032756e-01
