# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransMIN charged-particle density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 1.313028e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 1.650000e-02 1.900000e-03
1.000000e+00 1.500000e+00 7.350000e-02 3.401470e-03
1.500000e+00 2.000000e+00 1.307000e-01 4.901020e-03
2.000000e+00 2.500000e+00 1.665000e-01 5.907622e-03
2.500000e+00 3.000000e+00 1.875000e-01 8.714356e-03
3.000000e+00 3.500000e+00 1.982000e-01 1.092245e-02
3.500000e+00 4.000000e+00 2.049000e-01 1.035857e-02
4.000000e+00 4.500000e+00 2.074000e-01 1.001299e-02
4.500000e+00 5.000000e+00 2.109000e-01 9.436631e-03
5.000000e+00 6.000000e+00 2.091000e-01 9.774457e-03
6.000000e+00 7.000000e+00 2.131000e-01 9.270383e-03
7.000000e+00 8.000000e+00 2.053000e-01 1.102769e-02
8.000000e+00 1.000000e+01 2.135000e-01 1.065270e-02
1.000000e+01 1.500000e+01 1.879000e-01 1.415980e-02
1.500000e+01 2.000000e+01 1.967000e-01 3.170426e-02
