# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dN_\mathrm{ch}\,/d\eta\, d\phi$
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransAVE charged-particle density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 2.626056e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 8.750000e-02 8.600000e-03
1.000000e+00 1.500000e+00 2.346000e-01 9.000556e-03
1.500000e+00 2.000000e+00 3.421000e-01 1.150174e-02
2.000000e+00 2.500000e+00 4.060000e-01 1.260357e-02
2.500000e+00 3.000000e+00 4.422000e-01 1.491208e-02
3.000000e+00 3.500000e+00 4.644000e-01 1.343019e-02
3.500000e+00 4.000000e+00 4.747000e-01 1.147388e-02
4.000000e+00 4.500000e+00 4.809000e-01 1.224827e-02
4.500000e+00 5.000000e+00 4.859000e-01 1.259286e-02
5.000000e+00 6.000000e+00 4.855000e-01 1.437533e-02
6.000000e+00 7.000000e+00 4.961000e-01 1.410603e-02
7.000000e+00 8.000000e+00 4.770000e-01 2.037695e-02
8.000000e+00 1.000000e+01 4.931000e-01 1.909607e-02
1.000000e+01 1.500000e+01 4.729000e-01 2.790645e-02
1.500000e+01 2.000000e+01 4.521000e-01 6.423776e-02
