# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransAVE charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 2.487626e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 5.500000e-02 5.500000e-03
1.000000e+00 1.500000e+00 1.754000e-01 6.600758e-03
1.500000e+00 2.000000e+00 2.845000e-01 9.102198e-03
2.000000e+00 2.500000e+00 3.601000e-01 1.060424e-02
2.500000e+00 3.000000e+00 4.082000e-01 1.291395e-02
3.000000e+00 3.500000e+00 4.353000e-01 1.882153e-02
3.500000e+00 4.000000e+00 4.531000e-01 1.506519e-02
4.000000e+00 4.500000e+00 4.634000e-01 1.494824e-02
4.500000e+00 5.000000e+00 4.744000e-01 1.539513e-02
5.000000e+00 6.000000e+00 4.826000e-01 1.535871e-02
6.000000e+00 7.000000e+00 5.046000e-01 1.617560e-02
7.000000e+00 8.000000e+00 4.882000e-01 2.157614e-02
8.000000e+00 1.000000e+01 5.142000e-01 2.166010e-02
1.000000e+01 1.500000e+01 5.222000e-01 2.870017e-02
1.500000e+01 2.000000e+01 4.815000e-01 6.648082e-02
