# Version 0.0
# Observable: $(1/N_\mathrm{events})\; dp^{\mathrm{sum}}_\mathrm{T}\,/d\eta\, d\phi$ [GeV]
# Subobservable: $p_\mathrm{T}^{\mathrm{max}}$ [GeV]
# Title: TransDIF charged $p^{\mathrm{sum}}_\mathrm{T}$ density $\sqrt{s}=900\,\mathrm{GeV}$
# XScale: linear
# YScale: linear
# XLims: 5.000000e-01 2.000000e+01
# YLims: 0.000000e+00 1.920490e+00
# xmin xmax y y_err
5.000000e-01 1.000000e+00 9.000000e-02 8.600581e-03
1.000000e+00 1.500000e+00 2.486000e-01 8.502353e-03
1.500000e+00 2.000000e+00 3.685000e-01 1.070420e-02
2.000000e+00 2.500000e+00 4.517000e-01 1.191512e-02
2.500000e+00 3.000000e+00 5.010000e-01 1.303840e-02
3.000000e+00 3.500000e+00 5.315000e-01 1.937473e-02
3.500000e+00 4.000000e+00 5.505000e-01 1.451689e-02
4.000000e+00 4.500000e+00 5.668000e-01 1.428741e-02
4.500000e+00 5.000000e+00 5.786000e-01 1.487616e-02
5.000000e+00 6.000000e+00 5.935000e-01 1.469320e-02
6.000000e+00 7.000000e+00 6.244000e-01 1.724094e-02
7.000000e+00 8.000000e+00 6.108000e-01 2.441680e-02
8.000000e+00 1.000000e+01 6.446000e-01 2.444299e-02
1.000000e+01 1.500000e+01 7.023000e-01 4.072591e-02
1.500000e+01 2.000000e+01 6.076000e-01 9.426903e-02
